State,Code,Election Year,Before,Region,Y
Andhra Pradesh,AP,1955,0,South,2
Andhra Pradesh,AP,1957,1,South,1
Andhra Pradesh,AP,1962,0,South,1
Andhra Pradesh,AP,1967,0,South,1
Andhra Pradesh,AP,1972,0,South,1
Andhra Pradesh,AP,1978,0,South,1
Andhra Pradesh,AP,1983,0,South,0
Andhra Pradesh,AP,1985,1,South,1
Andhra Pradesh,AP,1989,1,South,0
Andhra Pradesh,AP,1994,0,South,0
Andhra Pradesh,AP,1999,0,South,1
Andhra Pradesh,AP,2004,0,South,0
Andhra Pradesh,AP,2009,0,South,1
Andhra Pradesh,AP,2014,0,South,0
Andhra Pradesh,AP,2019,0,South,0
Arunachal Pradesh,AR,1978,0,North,2
Arunachal Pradesh,AR,1980,1,North,0
Arunachal Pradesh,AR,1984,1,North,1
Arunachal Pradesh,AR,1990,0,North,1
Arunachal Pradesh,AR,1995,0,North,1
Arunachal Pradesh,AR,1999,1,North,1
Arunachal Pradesh,AR,2004,0,North,1
Arunachal Pradesh,AR,2009,0,North,1
Arunachal Pradesh,AR,2014,0,North,1
Arunachal Pradesh,AR,2019,0,North,0
Assam,AS,1952,0,North,2
Assam,AS,1957,0,North,1
Assam,AS,1962,0,North,1
Assam,AS,1967,0,North,1
Assam,AS,1972,0,North,1
Assam,AS,1978,0,North,0
Assam,AS,1983,0,North,0
Assam,AS,1985,1,North,0
Assam,AS,1991,0,North,0
Assam,AS,1996,0,North,0
Assam,AS,2001,0,North,0
Assam,AS,2006,0,North,1
Assam,AS,2011,0,North,1
Assam,AS,2016,0,North,0
Bihar,BR,1952,0,North,2
Bihar,BR,1957,0,North,1
Bihar,BR,1962,0,North,1
Bihar,BR,1967,0,North,1
Bihar,BR,1969,1,North,1
Bihar,BR,1972,1,North,1
Bihar,BR,1977,0,North,0
Bihar,BR,1980,1,North,0
Bihar,BR,1985,0,North,1
Bihar,BR,1990,0,North,0
Bihar,BR,1995,0,North,1
Bihar,BR,2000,0,North,1
Bihar,BR,2005,0,North,0
Bihar,BR,2005,1,North,0
Bihar,BR,2010,0,North,1
Bihar,BR,2015,0,North,1
Chhattisgarh,CG,2003,0,North,2
Chhattisgarh,CG,2008,0,North,1
Chhattisgarh,CG,2013,0,North,1
Chhattisgarh,CG,2018,0,North,0
Goa,GA,1967,0,South,2
Goa,GA,1972,0,South,1
Goa,GA,1977,0,South,1
Goa,GA,1980,1,South,0
Goa,GA,1984,1,South,1
Goa,GA,1989,0,South,1
Goa,GA,1994,0,South,1
Goa,GA,1999,0,South,1
Goa,GA,2002,1,South,0
Goa,GA,2007,0,South,0
Goa,GA,2012,0,South,0
Goa,GA,2017,0,South,1
Gujarat,GJ,1962,0,North,2
Gujarat,GJ,1967,0,North,1
Gujarat,GJ,1972,0,North,1
Gujarat,GJ,1975,1,North,1
Gujarat,GJ,1980,0,North,1
Gujarat,GJ,1985,0,North,1
Gujarat,GJ,1990,0,North,0
Gujarat,GJ,1995,0,North,1
Gujarat,GJ,1998,1,North,1
Gujarat,GJ,2002,1,North,1
Gujarat,GJ,2007,0,North,1
Gujarat,GJ,2012,0,North,1
Gujarat,GJ,2017,0,North,1
Haryana,HR,1967,0,North,2
Haryana,HR,1968,1,North,1
Haryana,HR,1972,1,North,1
Haryana,HR,1977,0,North,0
Haryana,HR,1982,0,North,0
Haryana,HR,1987,0,North,0
Haryana,HR,1991,1,North,0
Haryana,HR,1996,0,North,0
Haryana,HR,2000,1,North,0
Haryana,HR,2005,0,North,0
Haryana,HR,2009,1,North,1
Haryana,HR,2014,0,North,0
Himachal Pradesh,HP,1951,0,North,2
Himachal Pradesh,HP,1967,0,North,1
Himachal Pradesh,HP,1972,0,North,1
Himachal Pradesh,HP,1977,0,North,0
Himachal Pradesh,HP,1982,0,North,0
Himachal Pradesh,HP,1985,1,North,1
Himachal Pradesh,HP,1990,0,North,0
Himachal Pradesh,HP,1993,1,North,0
Himachal Pradesh,HP,1998,0,North,1
Himachal Pradesh,HP,2003,0,North,1
Himachal Pradesh,HP,2007,1,North,0
Himachal Pradesh,HP,2012,0,North,0
Himachal Pradesh,HP,2017,0,North,0
Jammu & Kashmir,JK,1957,0,North,2
Jammu & Kashmir,JK,1962,0,North,1
Jammu & Kashmir,JK,1967,0,North,0
Jammu & Kashmir,JK,1972,0,North,1
Jammu & Kashmir,JK,1977,0,North,0
Jammu & Kashmir,JK,1983,0,North,1
Jammu & Kashmir,JK,1987,1,North,1
Jammu & Kashmir,JK,1996,0,North,1
Jammu & Kashmir,JK,2002,0,North,0
Jammu & Kashmir,JK,2008,0,North,0
Jammu & Kashmir,JK,2014,0,North,0
Jharkhand,JH,2005,0,North,2
Jharkhand,JH,2009,1,North,0
Jharkhand,JH,2014,0,North,0
Karnataka,KA,1952,0,South,0
Karnataka,KA,1957,0,South,1
Karnataka,KA,1962,0,South,1
Karnataka,KA,1967,0,South,1
Karnataka,KA,1972,0,South,1
Karnataka,KA,1978,0,South,1
Karnataka,KA,1983,0,South,0
Karnataka,KA,1985,1,South,1
Karnataka,KA,1989,1,South,0
Karnataka,KA,1994,0,South,0
Karnataka,KA,1999,0,South,0
Karnataka,KA,2004,0,South,0
Karnataka,KA,2008,1,South,1
Karnataka,KA,2013,0,South,0
Karnataka,KA,2018,0,South,0
Kerela,KL,1957,0,South,2
Kerela,KL,1960,1,South,0
Kerela,KL,1965,0,South,0
Kerela,KL,1967,1,South,0
Kerela,KL,1970,1,South,0
Kerela,KL,1977,0,South,1
Kerela,KL,1980,1,South,1
Kerela,KL,1982,1,South,1
Kerela,KL,1987,0,South,0
Kerela,KL,1991,1,South,0
Kerela,KL,1996,0,South,0
Kerela,KL,2001,0,South,0
Kerela,KL,2006,0,South,0
Kerela,KL,2011,0,South,0
Kerela,KL,2016,0,South,0
Madhya Pradesh,MP,1951,0,North,2
Madhya Pradesh,MP,1957,0,North,1
Madhya Pradesh,MP,1962,0,North,1
Madhya Pradesh,MP,1967,0,North,1
Madhya Pradesh,MP,1972,0,North,1
Madhya Pradesh,MP,1977,0,North,0
Madhya Pradesh,MP,1980,1,North,0
Madhya Pradesh,MP,1985,0,North,1
Madhya Pradesh,MP,1990,0,North,0
Madhya Pradesh,MP,1993,1,North,0
Madhya Pradesh,MP,1998,0,North,1
Madhya Pradesh,MP,2003,0,North,0
Madhya Pradesh,MP,2008,0,North,1
Madhya Pradesh,MP,2013,0,North,1
Madhya Pradesh,MP,2018,0,North,0
Maharashtra,MH,1952,0,South,2
Maharashtra,MH,1957,0,South,1
Maharashtra,MH,1962,0,South,1
Maharashtra,MH,1967,0,South,1
Maharashtra,MH,1972,0,South,1
Maharashtra,MH,1978,0,South,0
Maharashtra,MH,1980,1,South,0
Maharashtra,MH,1985,0,South,1
Maharashtra,MH,1990,0,South,1
Maharashtra,MH,1995,0,South,0
Maharashtra,MH,1999,1,South,0
Maharashtra,MH,2004,0,South,1
Maharashtra,MH,2009,0,South,1
Maharashtra,MH,2014,0,South,0
Mizoram,MZ,1972,0,North,2
Mizoram,MZ,1978,0,North,0
Mizoram,MZ,1979,1,North,1
Mizoram,MZ,1984,0,North,0
Mizoram,MZ,1987,1,North,0
Mizoram,MZ,1989,1,North,0
Mizoram,MZ,1993,1,North,1
Mizoram,MZ,1998,0,North,0
Mizoram,MZ,2003,0,North,1
Mizoram,MZ,2008,0,North,0
Mizoram,MZ,2013,0,North,1
Mizoram,MZ,2018,0,North,0
Odisha,OD,1952,0,North,2
Odisha,OD,1957,0,North,1
Odisha,OD,1961,1,North,1
Odisha,OD,1967,0,North,0
Odisha,OD,1971,1,North,0
Odisha,OD,1974,1,North,1
Odisha,OD,1977,1,North,0
Odisha,OD,1980,1,North,0
Odisha,OD,1985,0,North,1
Odisha,OD,1990,0,North,0
Odisha,OD,1995,0,North,0
Odisha,OD,2000,0,North,0
Odisha,OD,2004,1,North,1
Odisha,OD,2009,0,North,1
Odisha,OD,2014,0,North,1
Odisha,OD,2019,0,North,1
Punjab,PB,1952,0,North,2
Punjab,PB,1957,0,North,1
Punjab,PB,1962,0,North,1
Punjab,PB,1967,0,North,0
Punjab,PB,1969,1,North,0
Punjab,PB,1972,1,North,0
Punjab,PB,1977,0,North,0
Punjab,PB,1980,1,North,0
Punjab,PB,1985,0,North,0
Punjab,PB,1992,0,North,0
Punjab,PB,1997,0,North,0
Punjab,PB,2002,0,North,0
Punjab,PB,2007,0,North,0
Punjab,PB,2012,0,North,1
Punjab,PB,2017,0,North,0
Rajasthan,RJ,1952,0,North,2
Rajasthan,RJ,1957,0,North,1
Rajasthan,RJ,1962,0,North,1
Rajasthan,RJ,1967,0,North,1
Rajasthan,RJ,1972,0,North,1
Rajasthan,RJ,1977,0,North,0
Rajasthan,RJ,1980,1,North,0
Rajasthan,RJ,1985,0,North,1
Rajasthan,RJ,1990,0,North,0
Rajasthan,RJ,1993,1,North,1
Rajasthan,RJ,1998,0,North,0
Rajasthan,RJ,2003,0,North,0
Rajasthan,RJ,2008,0,North,0
Rajasthan,RJ,2013,0,North,0
Rajasthan,RJ,2018,0,North,0
Sikkim,SK,1979,0,North,2
Sikkim,SK,1985,0,North,0
Sikkim,SK,1989,1,North,1
Sikkim,SK,1994,0,North,0
Sikkim,SK,1999,0,North,1
Sikkim,SK,2004,0,North,1
Sikkim,SK,2009,0,North,1
Sikkim,SK,2014,0,North,1
Sikkim,SK,2019,0,North,0
Tamil Nadu,TN,1952,0,South,2
Tamil Nadu,TN,1957,0,South,1
Tamil Nadu,TN,1962,0,South,1
Tamil Nadu,TN,1967,0,South,0
Tamil Nadu,TN,1971,1,South,1
Tamil Nadu,TN,1977,0,South,0
Tamil Nadu,TN,1980,1,South,1
Tamil Nadu,TN,1984,1,South,1
Tamil Nadu,TN,1989,0,South,0
Tamil Nadu,TN,1991,1,South,0
Tamil Nadu,TN,1996,0,South,0
Tamil Nadu,TN,2001,0,South,0
Tamil Nadu,TN,2006,0,South,0
Tamil Nadu,TN,2011,0,South,0
Tamil Nadu,TN,2016,0,South,1
Telangana,TS,2018,0,South,2
Uttar Pradesh,UP,1951,0,North,2
Uttar Pradesh,UP,1952,1,North,1
Uttar Pradesh,UP,1957,0,North,1
Uttar Pradesh,UP,1962,0,North,1
Uttar Pradesh,UP,1967,0,North,1
Uttar Pradesh,UP,1969,1,North,1
Uttar Pradesh,UP,1972,1,North,1
Uttar Pradesh,UP,1974,1,North,1
Uttar Pradesh,UP,1977,1,North,0
Uttar Pradesh,UP,1980,1,North,0
Uttar Pradesh,UP,1985,0,North,1
Uttar Pradesh,UP,1989,1,North,0
Uttar Pradesh,UP,1991,1,North,0
Uttar Pradesh,UP,1993,1,North,1
Uttar Pradesh,UP,1996,1,North,1
Uttar Pradesh,UP,2002,0,North,0
Uttar Pradesh,UP,2007,0,North,0
Uttar Pradesh,UP,2012,0,North,0
Uttar Pradesh,UP,2017,0,North,0
Uttarakhand,UK,2002,0,North,2
Uttarakhand,UK,2007,0,North,0
Uttarakhand,UK,2012,0,North,0
Uttarakhand,UK,2017,0,North,0
West Bengal,WB,1952,0,North,2
West Bengal,WB,1957,0,North,1
West Bengal,WB,1962,0,North,1
West Bengal,WB,1967,0,North,1
West Bengal,WB,1969,1,North,0
West Bengal,WB,1971,1,North,1
West Bengal,WB,1972,1,North,0
West Bengal,WB,1977,0,North,0
West Bengal,WB,1982,0,North,1
West Bengal,WB,1987,0,North,1
West Bengal,WB,1991,1,North,1
West Bengal,WB,1996,0,North,1
West Bengal,WB,2001,0,North,1
West Bengal,WB,2006,0,North,1
West Bengal,WB,2011,0,North,0
West Bengal,WB,2016,0,North,1
